Sentence,Answer,Score
The President: Good evening.,Good evening,0.026044469326734543
"If I were smart, I'd go home now.",If I were smart,0.1392502635717392
"In January 1941, President Franklin Roosevelt came to this chamber to speak to the nation.",President Franklin Roosevelt came to this chamber to speak to the nation,0.010529491119086742
"He said, ""I address you at a moment unprecedented in the history of the Union.""","""I address you at a moment unprecedented in the history of the Union",0.16936945915222168
Hitler was on the march.,Hitler was on the march,0.12797904014587402
War was raging in Europe.,War was raging in Europe,0.020592138171195984
President Roosevelt’s purpose was to wake up the Congress and alert the American people that this was no ordinary time.,no ordinary time,0.10723230987787247
Freedom and democracy were under assault in the world.,Freedom and democracy were under assault,0.015974070876836777
Tonight I come to the same chamber to address the nation.,Tonight I come to the same chamber to address the nation,0.0023033132310956717
Now it is we who face an unprecedented moment in the history of the Union.,we who face an unprecedented moment in the history of the Union,0.022156018763780594
"And yes, my purpose tonight is to wake up this Congress, and alert the American people that this is no ordinary moment either.",my purpose tonight is to wake up this Congress,0.02958833985030651
Not since President Lincoln and the Civil War have freedom and democracy been under assault here at home as they are today.,freedom and democracy,0.010175347328186035
"What makes our moment rare is that freedom and democracy are under attack, both at home and overseas, at the very same time.",freedom and democracy are under attack,0.008729040622711182
"Overseas, Putin of Russia is on the march, invading Ukraine and sowing chaos throughout Europe and beyond.",Putin,0.116180419921875
"If anybody in this room thinks Putin will stop at Ukraine, I assure you, he will not.",he will not,0.14239312708377838
Ukraine can stop Putin if we stand with Ukraine and provide the weapons it needs to defend itself.,Ukraine can stop Putin if we stand with Ukraine,0.06208047270774841
That is all Ukraine is asking.,Ukraine is asking,0.21408939361572266
They are not asking for American soldiers.,They are not asking for American soldiers,0.449542373418808
"In fact, there are no American soldiers at war in Ukraine.",there are no American soldiers at war in Ukraine,0.29738110303878784
And I am determined to keep it that way.,I am determined to keep it that way.,0.003549295011907816
But now assistance for Ukraine is being blocked by those who want us to walk away from our world leadership.,assistance for Ukraine is being blocked,0.05824269726872444
"It wasn’t that long ago when a Republican President, Ronald Reagan, thundered, ""Mr.",Ronald Reagan,0.008749259635806084
"Gorbachev, tear down this wall.""",tear down this wall,0.5013295412063599
"Now, my predecessor, a former Republican President, tells Putin, ""Do whatever the hell you want.""","Do whatever the hell you want.""",0.17346630990505219
"A former American President actually said that, bowing down to a Russian leader.",bowing down to a Russian leader,0.2660141885280609
America is a founding member of NATO the military alliance of democratic nations created after World War II to prevent war and keep the peace.,America is a founding member of NATO,0.030057573691010475
"Today, we’ve made NATO stronger than ever.",we’ve made NATO stronger than ever,0.07758019864559174
"We welcomed Finland to the Alliance last year, and just this morning, Sweden officially join and their Prime Minister is here tonight.",Prime Minister is here tonight.,0.0007681941497139633
And they know how to fight.,they know how to fight,0.09909472614526749
"Prime Minister, welcome to NATO, the strongest military alliance the world has ever seen.",welcome to NATO,0.11474677175283432
I say this to Congress: we must stand up to Putin.,we must stand up to Putin,0.1683463603258133
Send me the Bipartisan National Security Bill.,Send me the Bipartisan National Security Bill,0.07360446453094482
History is literally watching.,History is literally watching,0.1692584753036499
"If the United States walks away now, it will put Ukraine at risk.","If the United States walks away now, it will put Ukraine at risk",0.05952848494052887
"The free world at risk, emboldening others who wish to do us harm.",The free world at risk,0.3927426338195801
"My message to President Putin, who've I've know for a long time is simple.",President Putin,0.0847100168466568
We will not walk away.,We will not walk away,0.3258954584598541
We will not bow down.,We will not bow down,0.1566089242696762
I will not bow down.,I will not bow down,0.24874652922153473
"In a literal sence, history is watching.",history is watching,0.44717350602149963
History is watching just like history watched three years ago on January 6th.,History is watching just like history watched three years ago on January 6th.,0.005764910019934177
Insurrectionists stormed this very Capitol and placed a dagger at the throat of American democracy.,Insurrectionists,0.0218370258808136
Many of you were here on that darkest of days.,darkest of days.,0.0009405731689184904
We all saw with our own eyes these insurrectionists were not patriots.,not patriots,0.15147367119789124
They had come to stop the peaceful transfer of power and to overturn the will of the people.,They had come to stop the peaceful transfer of power,0.09027130156755447
"January 6th lies about the 2020 election, and the plots to steal the election, posed the gravest threat to our democracy since the Civil War.",January 6th lies about the 2020 election,0.11494498699903488
America stood strong and democracy prevailed.,America stood strong and democracy prevailed,0.22416403889656067
But we must be honest the threat remains and democracy must be defended.,the threat remains and democracy must be defended,0.024976765736937523
My predecessor and some of you here seek to bury the truth of January 6th.,bury the truth of January 6th,0.014396945014595985
I will not do that.,I will not do that,0.15437264740467072
This is a moment to speak the truth and bury the lies.,speak the truth,0.205487459897995
And here’s the simplest truth.,here’s the simplest truth,0.06072049215435982
You can’t love your country only when you win.,You can’t love your country only when you win,0.1508582979440689
"As I’ve done ever since being elected to office, I ask you all, without regard to party, to join together and defend our democracy.",to join together and defend our democracy,0.08056265115737915
Remember your oath of office to defend against all threats foreign and domestic.,Remember your oath of office to defend against all threats foreign and domestic,0.039933398365974426
Respect free and fair elections!,Respect free and fair elections,0.06582336127758026
Restore trust in our institutions!,Restore trust in our institutions,0.06255145370960236
"And make clear –political violence has absolutely no place, no place in America.","political violence has absolutely no place, no place in America",0.1317032128572464
It's not hyperbole to suggest history is watching.,history is watching,0.20434267818927765
Your children and grandchildren will read about this day and what we do.,Your children and grandchildren will read about this day and what we do.,0.0006636993493884802
And history is watching another assault on freedom.,freedom,0.006055665202438831
"Joining us tonight is Latorya Beasley, a social worker from Birmingham, Alabama. 14 months ago, 14 months ago she and her husband welcomed a baby girl thanks to the miracle of IVF.",miracle of IVF,0.0002768330159597099
"She scheduled treatments to have a second child, but the Alabama Supreme Court shut down IVF treatments across the state, unleashed by the Supreme Court decision overturning Roe v.",She scheduled treatments to have a second child,0.03981773182749748
She was told her dream would have to wait.,her dream would have to wait,0.1529572308063507
What her family has gone through should never have happened.,What her family has gone through should never have happened,0.12243635952472687
"And unless Congress acts, it could happen again.","unless Congress acts, it could happen again",0.006666422821581364
"So tonight, let’s stand up for families like hers!",let’s stand up for families like hers,0.0010727617191150784
"To my friends across the aisle, don’t keep families waiting any longer.",don’t keep families waiting any longer,0.22625650465488434
Guarantee the right to IVF.,Guarantee the right to IVF,0.6342960000038147
"Like most Americans, I believe Roe v.",Roe v,0.07411421835422516
Wade got it right.,Wade got it right,0.1316593587398529
"And I thank Vice President Harris for being an incredible leader, defending reproductive freedom and so much more.",defending reproductive freedom,0.04866162687540054
But my predecessor came to office determined to see Roe v.,Roe v,0.006759360898286104
He’s the reason it was overturned.,He’s the reason it was overturned,0.18786510825157166
"In fact, he brags about it.",brags about it,0.2060529738664627
Look at the chaos that has resulted.,chaos that has resulted.,0.0005122677539475262
"Joining us tonight is Kate Cox, a wife and mother from Dallas.","Kate Cox, a wife and mother",0.003448368748649955
"When she became pregnant again, the fetus had a fatal condition.","When she became pregnant again, the fetus had a fatal condition",0.12151455879211426
Her doctors told Kate that her own life and her ability to have children in the future were at risk if she didn’t act.,her own life and her ability to have children in the future were at risk,0.021284090355038643
"Because Texas law banned abortion, Kate and her husband had to leave the state to get the care she needed.",Texas law banned abortion,0.08569632470607758
What her family has gone through should never have happened as well.,What her family has gone through should never have happened as well,0.10232478380203247
But it is happening to so many others.,it is happening to so many others.,0.001647795899771154
"There are state laws banning the freedom to choose, criminalizing doctors, and forcing survivors of rape and incest to leave their states as well to get the care they need.",state laws,0.03136516734957695
Many of you in this Chamber and my predecessor are promising to pass a national ban on reproductive freedom.,a national ban on reproductive freedom,0.0906067043542862
"My God, what freedoms will you take away next?",My God,0.028615664690732956
Looks in its decision to overturn Roe v.,decision to overturn Roe v.,0.0009142167982645333
"Wade the Supreme Court majority wrote the following -- and will all due respect, Justices. ""Women are not without electoral power -- excuse me -- electoral or political power.""",Women are not without electoral power,0.11908978968858719
You're about to realize just how much you .,You're about to realize just how much you .,2.3605640308232978e-05
"Clearly -- Clearly, those bragging about overturning Roe v.",bragging about overturning Roe v.,0.11099826544523239
Wade have no clue about the power of women in America.,Wade have no clue about the power of women in America,0.08503931760787964
"But they found out when reproductive freedom was on the ballot and won in 2022, 2023, and they will find out again, in 2024.",reproductive freedom,0.2618941068649292
"If you the American people send me a Congress that supports the right to choose, I promise you, I will restore Roe v.",I will restore Roe v,0.11160171031951904
Wade as the law of the land again!,Wade as the law of the land,0.02038721740245819
"Folks, America cannot go back.",America cannot go back,0.5415087342262268
I am here tonight to show what I believe the way forward.,the way forward,0.007121158763766289
Because I know how far we’ve come.,Because I know how far we’ve come,0.11320753395557404
"Four years ago next week, before I came to office, the country was hit by the worst pandemic and the worst economic crisis in a century.",worst pandemic and the worst economic crisis in a century,0.0005571359070017934
Remember the spike in crime.,spike in crime,0.034400079399347305
And the murder rate.,the murder rate,0.2892487347126007
"A raging virus that would take more than 1 million American lives of loved ones, millions of loved ones behind.",A raging virus,0.20961053669452667
A mental health crisis of isolation and loneliness.,A mental health crisis of isolation and loneliness,0.411718487739563
"A president, my predecessor, failed the most basic duty.","A president, my predecessor, failed the most basic duty",0.008073029108345509
Any President owes the American people the duty to care.,Any President owes the American people the duty to care,0.10858985036611557
I came to office determined to get us through one of the toughest periods in our nation’s history.,get us through one of the toughest periods in our nation’s history,0.006666093599051237
It doesn’t make the news but in thousands of cities and towns the American people are writing the greatest comeback story never told.,doesn’t make the news,0.13101662695407867
"So let’s tell the story here, tell it here and now.",let’s tell the story,0.013782544061541557
"America’s comeback is building a future of American possibilities, building an economy from the middle out and the bottom up, not the top down, investing in all of America, in all Americans to make sure everyone has a fair shot and we leave no one, no one behind!",America’s comeback is building a future of American possibilities,0.01544842217117548
The pandemic no longer controls our lives.,The pandemic no longer controls our lives,0.18861523270606995
The vaccines that saved us from COVID are now being used to help beat cancer.,vaccines,0.00441198842599988
Turning setback into comeback.,Turning setback into comeback,0.3262709975242615
That’s what America does!,America does!,0.09410413354635239
That's what America does.,America does,0.3371821343898773
"Folks, I inherited an economy that was on the brink.",I inherited an economy that was on the brink,0.10386435687541962
Now our economy is the envy of the world! 15 million new jobs in just three years – a record!,our economy is the envy of the world,0.005075319670140743
Unemployment at 50-year lows.,Unemployment at 50-year lows,0.8015336990356445
A record 16 million Americans are starting small businesses and each one is an act of hope.,A record 16 million Americans are starting small businesses,0.027438247576355934
"With historic job growth and small business growth for Black, Hispanic, and Asian-Americans. 800,000 new manufacturing jobs in America and counting.",historic job growth,0.01472438219934702
Where is it writing we can't be the manufacturing capital of the world?,we can't be the manufacturing capital of the world,0.2098570615053177
More people have health insurance today than ever before.,More people have health insurance,0.14389561116695404
The racial wealth gap is the smallest it’s been in 20 years.,The racial wealth gap,0.20497754216194153
Wages keep going up and inflation keeps coming down!,Wages keep going up and inflation keeps coming down,0.011490819975733757
Inflation has dropped from 9 percent to 3 percent – the lowest in the world!,Inflation has dropped from 9 percent to 3 percent,0.022597968578338623
That landing is and will be soft.,landing is and will be soft,0.4774906635284424
"And now instead of importing foreign products and exporting American jobs, we’re exporting American products and creating American jobs – right here in America where they belong!",we’re exporting American products and creating American jobs,0.042174290865659714
"And it takes time, but the American people are beginning to feel it.",the American people are beginning to feel it,0.05010385811328888
Consumer studies show consumer confidence is soaring.,consumer confidence is soaring,0.042503710836172104
Buy America has been the law of the land since the 1930s.,Buy America has been the law of the land,0.19420579075813293
"Past administrations including my predecessor, including some Democrats as well in the past, failed to Buy American.",failed to Buy American,0.17889027297496796
"On my watch, federal projects that you fund like helping to build American roads, bridges, and highways will be made with American products built by American workers.",will be made with American products built by American workers,0.007768928539007902
Creating good-paying American jobs!,Creating good-paying American jobs,0.2759886384010315
Thanks to our Chips and Science Act the United States is investing more in research and development than ever before.,the United States is investing more in research and development than ever before,0.0018224036321043968
During the pandemic a shortage of semiconductor chips drove up prices for everything from cell phones to automobiles.,shortage of semiconductor chips drove up prices,0.010622491128742695
"And by the way, we invented those chips right here in America.",we invented those chips,0.0019268020987510681
Well instead of having to import them private companies are now investing billions of dollars to build new chip factories here in America!,private companies are now investing billions of dollars to build new chip factories,0.01159017626196146
"Creating tens of thousands of jobs many of those jobs paying over $100,000 a year and don’t require a college degree.",Creating tens of thousands of jobs,0.19579322636127472
In fact my policies have attracted $650 Billion in private sector investments in clean energy and advanced manufacturing creating tens of thousands of jobs here in America!,my policies have attracted $650 Billion,0.016456738114356995
"And thanks to our Bipartisan Infrastructure Law, 46,000 new projects have been announced across your communities – and by the way, I noticed some of you strongly voted against it, but they're cheering on that money coming in.",some of you strongly voted against it,0.0022283331491053104
If any of you don't want that money in your district just let me know.,If any of you don't want that money,0.027471190318465233
"Modernizing our roads and bridges, ports and airports, and public transit systems.","Modernizing our roads and bridges, ports and airports, and public transit systems",0.6127297878265381
Removing poisonous lead pipes so every child can drink clean water without risk of brain damage.,Removing poisonous lead pipes,0.2127973884344101
Providing affordable high speed internet for every American no matter where you live.,Providing affordable high speed internet,0.2543940246105194
"Urban, suburban, and rural communities -- in red states and blue states.","Urban, suburban, and rural communities",0.09032228589057922
Record investments in tribal communities.,Record investments in tribal communities,0.7954078316688538
"Because of my investments, family farms led by my Secretary of Agriculture, knows more about this than anybody I know, we are better be able to stay in the family and children and grandchildren won’t have to leave, leave home to make a living.",we are better be able to stay in the family,0.03304944559931755
"A great comeback story is Belvidere, Illinois.",comeback story,0.004145062528550625
Home to an auto plant for nearly 60 years.,Home to an auto plant for nearly 60 years.,5.1075203373329714e-05
Before I came to office the plant was on its way to shutting down.,Before I came to office the plant was on its way to shutting down,0.0043826596811413765
Thousands of workers feared for their livelihoods.,Thousands of workers feared for their livelihoods,0.04516245052218437
Then I was elected to office and we raised Belvidere repeatedly with the auto company knowing unions make all the difference.,unions make all the difference,0.14102523028850555
The UAW worked like hell to keep the plant open and get those jobs back.,The UAW worked like hell,0.02478087693452835
"And together, we succeeded!",we succeeded,0.008703487925231457
Instead of an auto factory shutting down an auto factory is re-opening and a new state-of-the art battery factory is being built to power those cars.,state-of-the art battery factory is being built to power those cars,0.0040986607782542706
"Folks, to the folks of Belvidere, I say instead of a town being left behind your community moving forward again!",instead of a town being left behind your community moving forward again!,0.06513212621212006
"Because instead of watching auto jobs of the future go overseas 4,000 union jobs with higher wages are building that future, in Belvidere, right here in America!",instead of watching auto jobs of the future go overseas,0.01080069225281477
"Here tonight is UAW President, Shawn Fain, a great friend, and a great labor leader.","a great friend, and a great labor leader",0.003401754191145301
"Shawn, where are you?",Shawn,0.002824523951858282
"And Dawn Simms, a third generation UAW worker in Belvidere.",Dawn Simms,0.0009470833465456963
"Shawn, I was proud to be the first President to stand in the a picket line.",proud to be the first President to stand in the a picket line,0.006916825193911791
And today Dawn has a job in her hometown providing stability for her family and pride and dignity as well.,Dawn,0.0226456206291914
"Showing once again, Wall Street didn’t build this America -- they're not bad guys.",Wall Street didn’t build this America,0.21838290989398956
They didn't build it though.,They didn't build it,0.14569006860256195
The middle class built this country!,The middle class built this country!,0.07741101086139679
And unions built the middle class!,unions built the middle class,0.199056476354599
"I say to the American people, when Americans gets knocked down, we get back up!","when Americans gets knocked down, we get back up!",0.13048680126667023
"That’s you, the American people!",the American people,0.16607017815113068
It’s because of you America is coming back!,America is coming back,0.20219574868679047
"It’s because of you, our future is brighter!",our future is brighter,0.17527858912944794
It’s because of you that tonight we can proudly say the State of our Union is strong and getting stronger!,the State of our Union is strong and getting stronger!,0.06853090226650238
Tonight I want to talk about the future of possibilities that we can build together.,future of possibilities,0.008060376159846783
A future where the days of trickle-down economics are over and the wealthy and biggest corporations no longer get all the tax breaks.,A future where the days of trickle-down economics are over,0.08048295229673386
"And by the way, I understand corporations.",corporations,0.018672293052077293
I come from a state that has more corporation than everyone of yours states in the United States combined.,I come from a state that has more corporation,0.028469789773225784
And I represented them for 36 years.,I represented them for 36 years,0.03834615647792816
But I grew up in a home where not a lot trickled down on my Dad’s kitchen table.,not a lot trickled down on my Dad’s kitchen table.,0.0018715820042416453
That’s why I’m determined to turn things around so the middle class does well.,I’m determined to turn things around so the middle class does well,0.007860416546463966
When they do well the poor have a way up and the wealthy still does well.,the poor have a way up and the wealthy still does well,0.036968301981687546
We all do well.,We all do well,0.3984653651714325
And there’s more to do to make sure you’re feeling the benefits of all we’re doing.,benefits of all we’re doing.,0.0015801475383341312
Americans pay more for prescription drugs than anywhere in the world.,Americans pay more for prescription drugs,0.08626159280538559
It’s wrong and I’m ending it.,It’s wrong,0.3171055316925049
With a law I proposed and signed and not one Republican buddies voted for it we finally beat Big Pharma!,we finally beat Big Pharma,0.03633731231093407
"Instead of paying $400 a month or thereabouts for insulin with diabetes it only cost $10 bucks to make, they only get paid 35 a month and still make a healthy profit.",they only get paid 35 a month and still make a healthy profit,0.017419636249542236
What to do next?,What to do next,1.223039816977689e-05
I want to cap the cost of insulin at $35 a month for every American who needs it!,I want to cap the cost of insulin,0.00040756980888545513
For years people have talked about it but I finally got it done and gave Medicare the power to negotiate lower prices for prescription drugs just like the VA is able to do for our veterans.,gave Medicare the power to negotiate lower prices for prescription drugs,0.050015565007925034
That’s not just saving seniors money.,saving seniors money,0.18623988330364227
It’s saving taxpayers money cutting the federal deficit by $160 billion because Medicare will no longer have to pay exorbitant prices to Big Pharma.,It’s saving taxpayers money,0.16752846539020538
This year Medicare is negotiating lower prices for some of the costliest drugs on the market that treat everything from heart disease to arthritis.,lower prices,0.023396242409944534
Now it’s time to go further and give Medicare the power to negotiate lower prices for 500 different drugs over the next decade.,give Medicare the power to negotiate lower prices,0.007453138008713722
"They're making a lot of money, guys.",They're making a lot of money,0.20229744911193848
And they'll still be extremely profitable.,they'll still be extremely profitable,0.15341264009475708
That will not only save lives it will save taxpayers another $200 Billion!,That will not only save lives it will save taxpayers another $200 Billion,0.05638524517416954
"Starting next year that same law caps total prescription drug costs for seniors on Medicare at $2,000 a year even for expensive cancer drugs that can cost $10,000, $12,000, $15,000.",caps total prescription drug costs,0.01259592454880476
"Now I want to cap prescription drug costs at $2,000 a year for everyone!",Now I want to cap prescription drug costs,0.00023663081810809672
"Folks, I'm going to get in trouble for saying it, but anyone want to get into AirForce One we can fly to Toronto, Berlin, Moscow -- I mean, excuse me -- well, even Moscow probably.",I'm going to get in trouble for saying it,0.05843115225434303
And bring your prescription with you and I promise you I'll get if for you for 40 percent the cost you're paying now.,bring your prescription,0.03074144572019577
"Same company, same drug, same place.","Same company, same drug, same place",0.4606773257255554
"Folks, the Affordable Care Act, Obamacare is still a very big deal.",the Affordable Care Act,0.10645904392004013
Over one hundred million of you can no longer be denied health insurance because of pre-existing conditions.,Over one hundred million of you can no longer be denied health insurance,0.03357033059000969
But my predecessor and many in this chamber want to take that protection away by repealing the Affordable Care Act.,repealing the Affordable Care Act,0.0699218139052391
I'm not going to let that happen!,I'm not going to let that happen!,0.0056379796005785465
We stopped you 50 times before and we will stop you again!,We stopped you 50 times before and we will stop you again!,0.03851563110947609
In fact I am protecting it and expanding it.,I am protecting it and expanding it,0.11562029272317886
I enacted tax credits that save $800 per person per year reducing health care premiums for millions of working families.,I enacted tax credits,0.07186681032180786
Those tax credits expire next year.,Those tax credits expire next year,0.08504439890384674
I want to make those savings permanent!,I want to make those savings permanent,0.048426635563373566
"To state the obvious, women are more than half of our population but research on women’s health has always been underfunded.",women are more than half of our population,0.14444445073604584
"That’s why we’re launching the first-ever White House Initiative on Women’s Health Research, led by Jill who is doing an incredible job as First Lady.",Women’s Health Research,0.004664312116801739
Pass my plan for $12 Billion to transform women’s health research and benefit millions of lives across America!,Pass my plan for $12 Billion,0.006111857481300831
I know the cost of housing is so important to you.,the cost of housing,0.017883405089378357
If inflation keeps coming down mortgage rates will come down as well and the Fed acknowledges that.,If inflation keeps coming down,0.02654535509645939
But I’m not waiting.,But I’m not waiting,0.15920542180538177
I want to provide an annual tax credit that will give Americans $400 a month for the next two years as mortgage rates come down to put toward their mortgage when they buy a first home or trade up for a little more space.,I want to provide an annual tax credit,0.05904258042573929
That's for two years.,two years,0.23235569894313812
My Administration is also eliminating title insurance federally backed mortgages.,My Administration is also eliminating title insurance federally backed mortgages,0.01501404494047165
"When you refinance your home, you can save you $1,000 or more as a consequence.",When you refinance your home,0.00458929780870676
"For millions of renters, we’re cracking down on big landlords who break antitrust laws by price-fixing and driving up rents.",we’re cracking down on big landlords who break antitrust laws,0.0014304263750091195
"We’ve cut red tape so more builders can get federal financing, which is already helping build a record 1.7 million new housing units nationwide.",We’ve cut red tape so more builders can get federal financing,0.07704932242631912
Now pass and build and renovate 2 million affordable homes and bring those rents down!,bring those rents down,0.02059311233460903
To remain the strongest economy in the world we need to have the best education system in the world.,we need to have the best education system in the world,0.007180945947766304
"And I, like I suspect all of you, want to give a child, every child, a good start by providing access to pre-school for 3- and 4-year-olds.",providing access to pre-school for 3- and 4-year-olds,0.025602765381336212
"You know, I think I pointed out last year -- I think I pointed out last year that children coming from broken homes where there's no books, they're not read to, not spoken to very often, start school kindergarten or first grade hearing having heard a million fewer words spoken, Well, studies show, that children who go to pre-school are nearly 50 percent more likely to finish high school and go on to earn a 2- or 4-year degree no matter their background is.","studies show, that children who go to pre-school",0.00483405077829957
"I met a year and a half ago with the leaders of the business roundtable, they were mad, angry as they were discussing why I wanted to spend money on education.","mad, angry",0.01046778168529272
"I pointed out to them, as Vice President, I met with over -- I think it was 182 -- don't know the exact number.",182,0.1018870398402214
"And I asked them what they need most, the COs.",the COs,0.029740961268544197
"And you've had the same experience, both sides of the aisle.",you've had the same experience,0.0943848118185997
"They say a better educated work force, right?",a better educated work force,0.36812880635261536
So I looked at them.,So I looked at them.,0.001088723074644804
I said I come from Deleware.,I come from Deleware,0.330014705657959
Dupont used to be the eighth largest corporation in the world.,Dupont used to be the eighth largest corporation in the world,0.0020444863475859165
And every new enterprise they bought they educated the workforce to that enterprise.,every new enterprise they bought they educated the workforce to that enterprise,0.008307062089443207
But none of you do that anymore.,none of you do that anymore,0.05312219262123108
Why are you angry with me providing you the opportunity for the best educated workforce in the world.,providing you the opportunity for the best educated workforce in the world,0.04265585541725159
"And they all looked at me and said, ""I think you're right."" I want to expand high-quality tutoring and summer learning to see to it that every child learns to read by third grade.","I think you're right.""",0.19300012290477753
I’m also connecting local businesses and high schools so students get hands-on experience and a path to a good-paying job whether or not they go to college.,I’m also connecting local businesses and high schools,0.0071238987147808075
And I want to make college more affordable.,I want to make college more affordable,0.05619121342897415
"Let’s continue increasing Pell Grants to working- and middle-class families and increase our record investments in HBCUs and and Minority-serving Institutions, including Hispanic institutions.",Let’s continue increasing Pell Grants,0.051878672093153
"When I was told I couldn't universally just change the way in which we deal with student loans, I fixed two student loan programs that already existed to reduce the burden of student debt for nearly 4 million Americans including nurses, firefighters, and others in public service like Keenan Jones a public-school educator in Minnesota who’s here with us tonight.",I couldn't universally just change the way in which we deal with student loans,0.17334865033626556
"Keenan, where are you?",Keenan,0.005005339160561562
He’s educated hundreds of students so they can go to college now he can help his own daughter get his own daughter to college.,He’s educated hundreds of students so they can go to college,0.18016940355300903
"And folks look, such relief is good for the economy because folks are now able to buy a home start a business, start a family.",relief is good for the economy,0.15568126738071442
While we’re at it I want to give public school teachers a raise!,I want to give public school teachers a raise,0.09713765233755112
"And by the way, the first couple years, we cut the deficit.",we cut the deficit,0.013976365327835083
Now let me speak to a question of fundamental fairness for all Americans.,fundamental fairness,0.3376314043998718
I’ve been delivering real results in a fiscally responsible way.,I’ve been delivering real results in a fiscally responsible way,0.1950918585062027
I’ve already cut the federal deficit by over one trillion dollars.,I’ve already cut the federal deficit by over one trillion dollars,0.20598234236240387
I signed a bipartisan budget deal that will cut another trillion dollars over the next decade.,I signed a bipartisan budget deal,0.01738203875720501
It’s my goal to cut the federal deficit $3 trillion more by making big corporations and the very wealthy finally pay their fair share.,It’s my goal to cut the federal deficit $3 trillion more,0.026551494374871254
"Look, I’m a capitalist.",I’m a capitalist,0.39476415514945984
If you want to make a million bucks that's great!,If you want to make a million bucks,0.03442967310547829
Just pay your fair share in taxes.,Just pay your fair share in taxes,0.5583807229995728
"A fair tax code is how we invest in the things that make a country great, health care, education, defense, and so much more.",A fair tax code,0.29729247093200684
But here’s the deal.,here’s the deal.,0.00437852181494236
"The last administration enacted a $2 Trillion tax cut that overwhelmingly benefit the top one percent, the very wealthy and the biggest corporations and exploded the federal deficit.",The last administration enacted a $2 Trillion tax cut,0.010886434465646744
They added more to the national debt than in any presidential term in American history.,They added more to the national debt,0.22211644053459167
For folks at home does anybody really think the tax code is fair?,tax code is fair,0.022041404619812965
The President: Do you really think the wealthy and big corporations need another $2 trillion in tax breaks?,The President,0.0002389827131992206
The President: I sure don’t.,I sure don’t,0.16876058280467987
I’m going to keep fighting like hell to make it fair!,fair,0.040493205189704895
"Under my plan nobody earning less than $400,000 will pay an additional penny in federal taxes.","nobody earning less than $400,000 will pay an additional penny",0.01714898832142353
And they haven't yet.,they haven't yet,0.10254035145044327
In fact the Child Tax Credit I passed during the pandemic cut taxes for millions of working families and cut child poverty in half.,the Child Tax Credit,0.16973410546779633
Restore the Child Tax Credit because no child should go hungry in this country!,Restore the Child Tax Credit,0.2645139992237091
The way to make the tax code fair is to make big corporations and the very wealthy finally pay their share.,The way to make the tax code fair,0.15868139266967773
"In 2020, 55 of the biggest companies in America made $40 Billion in profits and paid zero in federal income taxes.",paid zero in federal income taxes,0.01242340449243784
Thanks to the law I wrote and signed big companies now have to pay a minimum of 15 percent.,big companies now have to pay a minimum of 15 percent,0.00579466950148344
