Sentence,Answer,Score
But that’s still less than working people pay in federal taxes.,less than working people pay in federal taxes,0.1659407764673233
It’s time to raise the corporate minimum tax to at least 21 percent.,It’s time to raise the corporate minimum tax,0.09880340844392776
So every big corporation finally begins to pay their fair share.,every big corporation finally begins to pay their fair share,0.03320864588022232
"I also want to end the tax breaks for Big Pharma, Big Oil, private jets, and massive executive pay!",I also want to end the tax breaks for Big Pharma,0.0032915433403104544
It's only supposed to be a million dollars that can be deducted.,It's only supposed to be a million dollars that can be deducted,0.17245374619960785
"They can pay them 20 million if they want, but deduct a million.",They can pay them 20 million,0.16006295382976532
"There are 1,000 billionaires in America.","There are 1,000 billionaires",0.07582830637693405
You know what the average federal tax rate for these billionaires is?,federal tax rate,0.00624954653903842
They've making great sacrifices. 8.2 percent!,They've making great sacrifices,0.05958518013358116
That’s far less than the vast majority of Americans pay.,That’s far less than the vast majority of Americans pay,0.2041035145521164
"No billionaire should pay a lower tax rate than a teacher, a sanitation worker, a nurse!",No billionaire should pay a lower tax rate,0.1297248750925064
That’s why I’ve proposed a minimum tax for billionaires of 25% for billionaires.,proposed a minimum tax for billionaires of 25% for billionaires,0.06666344404220581
You know what that would raise $500 billion over the next 10 years.,$500 billion,0.008769355714321136
Imagine what that could do for America.,Imagine what that could do for America,0.028256328776478767
"Imagine a future with affordable child care, millions of families can get the care they need and still go to work and help grow the economy.",Imagine a future with affordable child care,0.13604773581027985
Imagine a future with paid leave because no one should have to choose between working and taking care of yourself or a sick family member.,Imagine a future with paid leave,0.18031488358974457
Imagine a future with home care and elder care and people living with disabilities can stay in their homes and family caregivers get they pay they deserve!,Imagine a future with home care and elder care,0.003084074007347226
"Tonight, let’s all agree once again to stand up for seniors!",stand up for seniors,0.003115920117124915
Many of my friends on the other side of the aisle want to put Social Security on the chopping block.,Social Security on the chopping block,0.022362392395734787
If anyone here tries to cut Social Security or Medicare or raise the retirement age I will stop you!,If anyone here tries to cut Social Security or Medicare or raise the retirement age,0.05449582636356354
The working people who built this country pay more into Social Security than millionaires and billionaires do.,The working people who built this country pay more into Social Security,0.18925850093364716
We have two ways to go.,two ways to go.,0.0012361088301986456
Republicans will cut Social Security and give more tax cuts to the wealthy.,Republicans will cut Social Security and give more tax cuts to the wealthy,0.2565983831882477
The President: Oh no.,Oh no,0.09380921721458435
You guys don't want another $2 trillion tax cut?,You guys don't want another $2 trillion tax cut,0.004201242700219154
I kind of thought that's what your plan was.,your plan was.,0.009388033300638199
"Well, that's good to hear.","Well, that's good to hear",0.01742670126259327
You're not going to cut another $2 trillion for the super wealthy?,You're not going to cut another $2 trillion for the super wealthy,0.03428277745842934
That's good to hear.,good to hear.,0.002067180583253503
I will protect and strengthen Social Security and make the wealthy pay their fair share!,I will protect and strengthen Social Security,0.10330188274383545
Too many corporations raise their prices to pad their profits charging you more and more for less and less.,Too many corporations raise their prices,0.04029759019613266
That’s why we’re cracking down on corporations that engage in price gouging or deceptive pricing from food to health care to housing.,price gouging or deceptive pricing,0.005594581365585327
"In fact, snack companies think you won’t notice if they charge you just as much for the same size bag and put a hell of a lot fewer -- same size bag, put fewer chips in it.","same size bag, put fewer chips in it",0.00497664138674736
"No, I'm not joking.",I'm not joking,0.28241991996765137
Pass Bob Casey’s bill and stop this!,Bob Casey’s bill,0.004615947138518095
I really mean it.,I really mean it,0.2223600447177887
You probably all saw that commercial on Snikers bars.,commercial on Snikers bars.,0.004175588022917509
"You get to charge the same amount and you got about, I don't know 10 percent fewer Snikers in it.",You get to charge the same amount,0.08671419322490692
I’m also getting rid of junk fees those hidden fees added at the end of your bills without your knowledge.,I’m also getting rid of junk fees,0.008970425464212894
My administration just announced we’re cutting credit card late fees from $32 to just $8.,My administration just announced we’re cutting credit card late fees,0.00827284250408411
The banks and credit card companies are allowed to charge what it costs them to instigate the collection.,what it costs them to instigate the collection,0.0019038977334275842
And that's more hell of a lot like $8 than $30 some dollars.,$8 than $30 some dollars,0.11155533045530319
They don’t like it.,They don’t like it,0.26273348927497864
The credit card companies don't like it.,credit card companies don't like it,0.11903219670057297
But I'm saving American families $20 billion a year with all of the junk fees I’m eliminating.,I'm saving American families $20 billion a year,0.14099428057670593
"Folks at home, that's why the banks are so mad, is 20 billion dollars in profit.",20 billion dollars in profit,0.0059111756272614
And I’m not stopping there.,I’m not stopping there.,0.004466247744858265
"My Administration has proposed rules to make cable, travel, utilities, and online ticket sellers tell you the total price upfront so there are no surprises.",the total price upfront,0.01166810654103756
And so does this.,so does this.,0.011702293530106544
"In November, my team began serious negotiations with a bipartisan group of Senators.",my team began serious negotiations with a bipartisan group of Senators,0.0019978939089924097
The result was a bipartisan bill with the toughest set of border security reforms we’ve ever seen.,a bipartisan bill,0.0159353818744421
Oh you don't think so?,Oh you don't think so,0.005402051378041506
"Oh, you don't like that bill, huh?","Oh, you don't like that bill",0.14367416501045227
The conservatives got together and said it was good bill?,it was good bill,0.011893492192029953
"That bipartisan deal would hire 1,500 more border security agents and officers. 100 more immigration judges to help tackle a backload of 2 million cases. 4,300 more asylum officers and new policies so they can resolve cases in 6 months instead of 6 years now. 100 more high-tech drug detection machines to significantly increase the ability to screen and stop vehicles from smuggling fentanyl into America that's killing thousands of children.","That bipartisan deal would hire 1,500 more border security agents and officers",0.00903843343257904
This bill would save lives and bring order to the border.,This bill would save lives and bring order to the border,0.0718298852443695
It would also give me and any new President new emergency authority to temporarily shut down the border when the number of migrants at the border is overwhelming.,new emergency authority to temporarily shut down the border,0.028764283284544945
The Border Patrol Union endorsed the bill.,The Border Patrol Union endorsed the bill,0.06479271501302719
"The Federal Chamber of Commerce had -- yeah, yeah.","The Federal Chamber of Commerce had -- yeah, yeah",0.12490399926900864
Look at the facts.,Look at the facts.,0.013312557712197304
I know -- I know you now how to read. .,I know -- I know you now how to read.,0.0031558785121887922
I believe that given the opportunity a majority of the House and Senate would endorse the bill as well.,a majority of the House and Senate would endorse the bill,0.05814282223582268
The majority right now.,The majority right now,0.045684173703193665
"But unfortunately, politics have derailed this bill so far.",politics have derailed this bill,0.16233253479003906
I’m told my predecessor called members of Congress and the Senate to demand they block the bill.,my predecessor called members of Congress and the Senate to demand they block the bill,0.17165865004062653
He feels it would be a political win for me and a political loser for him.,He feels it would be a political win for me,0.08971796184778214
It’s not about him or me.,It’s not about him or me,0.1632910668849945
It’d be a winner -- Audience Member: .,It’d be a winner,0.3209979832172394
"The President: Lincoln Riley, and innocent young woman who was killed by an illegal.",innocent young woman who was killed by an illegal,0.008262942545115948
"That's right, but how many thousands of people are being killed by illegals.",how many thousands of people are being killed by illegals,0.19619408249855042
"To her parents, I say -- my heart goes out to you, having lost children myself.",To her parents,0.09327301383018494
"But look, if we change the dynamic at the border, people pay these smugglers 8,000 bucks to get across the border, because they know if they get by, if they get by and let into the country it's six to eight years before they have a hearing.",if we change the dynamic at the border,0.026782916858792305
"And it's worth them taking the change at $8,000.","it's worth them taking the change at $8,000.",0.008286494761705399
"But if it's only six weeks, the idea is that it's highly unlikely that people pay that money and come all that way knowing that they'll be kicked out quickly.",if it's only six weeks,0.08721692115068436
"Folks, I would respectively suggest my Republican friends owe it to the American people to get this bill done.",owe it to the American people to get this bill done,0.09948676824569702
We need to act now.,We need to act now.,0.0024574080016463995
"And if my predecessor is watching instead of playing politics and pressuring members of Congress to block this bill, join me in telling Congress to pass it!",pressuring members of Congress to block this bill,0.012071485631167889
We can do it together.,We can do it together,0.12164255976676941
But that's apparently what he will not do.,he will not do,0.28713637590408325
"I will not demonize immigrants saying they ""poison the blood of our country"" as he said in his own words.",poison the blood of our country,0.18345016241073608
I will not separate families.,I will not separate families,0.6750665307044983
I will not ban people because of their faith.,I will not ban people because of their faith,0.355471134185791
"Unlike my predecessor, on my first day in office I introduced a comprehensive bill to fix our immigration system -- take a look at it.",I introduced a comprehensive bill to fix our immigration system,0.020086288452148438
It has all these and more.,It has all these and more,0.05047222599387169
"Secure the border, and provide a pathway to citizenship for Dreamers and so much more.",Secure the border,0.24020765721797943
"Because unlike my predecessor, I know who we are as Americans.",I know who we are as Americans,0.21182535588741302
We are the only nation in the world with a heart and soul that draws from old and new.,We are the only nation in the world,0.026753168553113937
Home to Native Americans whose ancestors have been here for thousands of years.,Home to Native Americans,0.05185907334089279
Home to people from every place on Earth.,Home to people from every place on Earth,0.462767094373703
Some came in chains.,Some came in chains,0.07007558643817902
"Some came when famine struck, like my ancestral family in Ireland.",famine,0.02553555555641651
Some to flee persecution.,Some to flee persecution,0.22079187631607056
To chase dreams that are impossible anywhere but here in America.,To chase dreams that are impossible anywhere but here in America,0.27646616101264954
"That’s America, where we all come from somewhere, but we are all Americans.",we are all Americans,0.062215518206357956
"Looks folks, we have a simple choice.",we have a simple choice,0.1471102237701416
"We can fight about the border, or we can fix it.",we can fix it,0.03779533877968788
I’m ready to fix it.,I’m ready to fix it.,0.02544208988547325
Send me the border bill now!,border bill,0.004918431863188744
"A transformational moment in our history happened 59 years ago today in Selma, Alabama.",transformational moment in our history,0.0011175975669175386
"Hundreds of foot soldiers for justice marched across the Edmund Pettus Bridge, named after a Grand Dragon of the KKK, to claim their fundamental right to vote.",fundamental right to vote,0.004903999622911215
"They were beaten, they were bloodied and left for dead.","They were beaten, they were bloodied and left for dead",0.15431882441043854
Our late friend and former colleague John Lewis was on that march.,John Lewis,0.05379670113325119
"Joining us tonight are other marchers, both in the gallery and on the floor, including Betty May Fikes, known as the ""Voice of Selma"".",Voice of Selma,0.0050036972388625145
"A daughter of gospel singers and preachers, she sang songs of prayer and protest on that Bloody Sunday, to help shake the nation’s conscience.",Bloody Sunday,0.0029279449954628944
"Five months later, the Voting Rights Act was signed into law.",Voting Rights Act,0.007756290957331657
"Thank you, thank you, thank you.","Thank you, thank you, thank you",0.20670635998249054
"But 59 years later, there are forces taking us back in time.",there are forces taking us back in time,0.015885822474956512
John Lewis was a great friend to many of us here.,John Lewis,0.02802705205976963
"But if you truly want to honor him and all the heroes who marched with him, then it’s time for more than just talk.",it’s time for more than just talk,0.05292882025241852
"Pass the Freedom to Vote Act, the John Lewis Voting Rights Act!","Pass the Freedom to Vote Act, the John Lewis Voting Rights Act",0.09569600969552994
And stop denying another core value of America our diversity across American life.,our diversity,0.03454538434743881
"Instead of erasing history, let’s make history!",erasing history,0.007701952010393143
I want to protect other fundamental rights!,I want to protect other fundamental rights,0.07506847381591797
"Pass the Equality Act, and my message to transgender Americans: I have your back!",I have your back,0.053391531109809875
Pass the PRO Act for workers rights!,Pass the PRO Act for workers rights,0.007249928079545498
And raise the federal minimum wage because every worker has the right to earn a decent living more than seven bucks and hour.,raise the federal minimum wage,0.23461215198040009
"We are also making history by confronting the climate crisis, not denying it.",not denying it,0.03244683891534805
I don't think any of you think there's no longer a climate crisis.,I don't think any of you think there's no longer a climate crisis,0.02400052361190319
At least I hope you don't.,At least I hope you don't,0.06189119443297386
I’m taking the most significant action ever on climate ever in the history of the world.,I’m taking the most significant action ever on climate,0.0859057605266571
I am cutting our carbon emissions in half by 2030.,I am cutting our carbon emissions in half by 2030,0.2925744950771332
"Creating tens of thousands of clean-energy jobs, like the IBEW workers building and installing 500,000 electric vehicle charging stations.",Creating tens of thousands of clean-energy jobs,0.28548339009284973
Conserving 30 percent of America’s lands and waters by 2030.,Conserving 30 percent of America’s lands and waters by 2030,0.4407181441783905
Taking historic action on environmental justice for fence-line communities smothered by the legacy of pollution.,Taking historic action on environmental justice,0.12183091789484024
"And patterned after the Peace Corps and Ameri Corps, I’ve launched a Climate Corps to put 20,000 young people to work in the forefront of our clean energy future.",I’ve launched a Climate Corps,0.005336870439350605
I’ll triple that number this decade.,I’ll triple that number this decade,0.030749117955565453
"To state the obvious, all Americans deserve the freedom to be safe, and America is safer today than when I took office.",all Americans deserve the freedom to be safe,0.2537990212440491
"The year before I took office, murders rats went up 30 percent, 30 percent they went up, the biggest increase in history.",murders rats went up 30 percent,0.017627600580453873
"It was then through my American Rescue Plan, which every Republican voted against, I’ve made the largest investment in public safety ever.",I’ve made the largest investment in public safety ever,0.08108234405517578
"Last year, the murder rate saw the sharpest decrease in history, and violent crime fell to one of the lowest levels in more than 50 years.",the murder rate saw the sharpest decrease in history,0.0021860525012016296
But we have more to do.,we have more to do.,0.0013932953588664532
"Help cities invest in more community police officers, more mental health workers, and more community violence intervention.",Help cities invest in more community police officers,0.1597737818956375
"Give communities the tools to crack down on gun crime, retail crime, and carjacking.",Give communities the tools to crack down on gun crime,0.0606633685529232
"Keep building public trust, as I’ve been doing by taking executive action on police reform, and calling for it to be the law of the land, directing my Cabinet to review the federal classification of marijuana, and expunging thousands of convictions for mere possession, because no one should be jailed for using or have it on their record!",no one should be jailed for using or have it on their record,0.03324646130204201
"To take on crimes of domestic violence, I am ramping up federal enforcement of the Violence Against Women Act, that I proudly wrote when I was a Senator, so we can finally end the scourge of violence against women in America!",Violence Against Women Act,0.08412723988294601
And there’s another kind of violence I want to stop.,violence,0.013987834565341473
"With us tonight is Jasmine, whose 9-year-old sister Jackie was murdered with 21 classmates and teachers at her elementary school in Uvalde, Texas.",murdered,0.0015912727685645223
"Very soon after it happened, Jill and I went to Uvalde for a couple days.",Jill and I went to Uvalde for a couple days.,0.001960405148565769
We spent hours and hours with the families.,We spent hours and hours with the families.,0.0017716402653604746
"We heard their message, so should everyone in this room, in this chamber could hear the same message. meeting with every family.",meeting with every family,0.03705744817852974
"They said, ""Do something!",Do something!,0.39171746373176575
"Well, I did do something by establishing the first-ever Office of Gun Violence Prevention in the White House that Vice President Harris is leading the charge.",Vice President Harris is leading the charge,0.0341181606054306
Thank you for doing it.,Thank you for doing it.,0.01150896679610014
"Meanwhile, my predecessor told the NRA he’s proud he did nothing on guns when he was President.",he did nothing on guns,0.025028975680470467
"After another school shooting in Iowa, recently he said, when asked what to do about it, he said ""just get over it.""","just get over it.""",0.19894398748874664
"That's his quote. ""Just get over it."" I say we stop it!","Just get over it.""",0.17926059663295746
"Stop it, stop it, stop it!","Stop it, stop it, stop it!",0.18339499831199646
I’m proud we beat the NRA when I signed the most significant gun safety law in nearly 30 years because of this Congress.,I’m proud we beat the NRA,0.01615302823483944
Now we must beat the NRA again!,Now we must beat the NRA,0.0007978460052981973
I’m demanding a ban on assault weapons and high-capacity magazines!,a ban on assault weapons,0.02879471704363823
Pass universal background checks!,Pass universal background checks,0.1816672533750534
"None of this, none of this -- I taught the Second Amendment for 12 years -- none of this violates the Second Amendment or vilifies responsible gun owners.",None of this,0.03869408369064331
"You know, as we manage challenges at home, we’re also managing crises abroad including in the Middle East.",challenges,0.0042221457697451115
"I know the last five months have been gut-wrenching for so many people, for the Israeli people, the Palestinian people, and so many here in America.",gut-wrenching,0.007173117715865374
"This crisis began on October 7th with a massacre by the terrorist group Hamas as you all know. 1,200 innocent people women and girls men and boys slaughtered, many enduring sexual violence.",sexual violence,0.007742737885564566
The deadliest day for the Jewish people since the Holocaust and 250 hostages taken.,The deadliest day for the Jewish people since the Holocaust,0.01460658386349678
Here in the chamber tonight are American families whose loved ones are still being held by Hamas.,Hamas,0.0015761906979605556
I pledge to all the families that we will not rest until we bring every one of your loved ones home.,we will not rest until we bring every one of your loved ones home,0.046596892178058624
"We will also work around the clock to bring home Evan and Paul, Americans being unjustly detained by the Russians and others around the world.",unjustly detained by the Russians and others around the world.,0.003313025226816535
Israel has a right to go after Hamas.,Israel has a right to go after Hamas,0.4271237254142761
"Hamas could end this conflict today by releasing the hostages, laying down arms, could end it by releasing hostages, laying down arms and surrendering those responsible for October 7th.",Hamas could end this conflict today by releasing the hostages,0.01996244117617607
"Israel has an added burden because Hamas hides and operates among the civilian population like cowards under hospitals, daycare centers and all the like.",Israel has an added burden,0.02308480069041252
Israel also has a fundamental responsibility though to protect innocent civilians in Gaza.,Israel also has a fundamental responsibility though to protect innocent civilians in Gaza.,0.020404169335961342
This war has taken a greater toll on innocent civilians than all previous wars in Gaza combined.,This war has taken a greater toll on innocent civilians,0.11833938956260681
"More than 30,000 Palestinians have been killed.","More than 30,000 Palestinians have been killed",0.004502502270042896
Most of whom are not Hamas.,Most of whom are not Hamas,0.14375461637973785
Thousands and thousands are innocent women and children.,Thousands and thousands are innocent women and children,0.22501128911972046
Girls and boys also orphaned.,orphaned,0.08627056330442429
Nearly 2 million more Palestinians under bombardment or displacement.,Nearly 2 million more Palestinians under bombardment or displacement,0.16451303660869598
"Homes destroyed, neighborhoods in rubble, cities in ruin.","Homes destroyed, neighborhoods in rubble, cities in ruin",0.16981105506420135
"Families without food, water, medicine.","Families without food, water, medicine",0.5475960969924927
"I’ve been working non-stop to establish an immediate ceasefire that would last for at least six weeks to get all the prisoners released, all the hostages released.",ceasefire,0.015002514235675335
"It would get the hostages home, ease the intolerable humanitarian crisis, and build toward something more enduring.",It would get the hostages home,0.22319963574409485
The United States has been leading international efforts to get more humanitarian assistance into Gaza.,The United States has been leading international efforts to get more humanitarian assistance into Gaza,0.0017883885884657502
"Tonight, I’m directing the U.S. military to lead an emergency mission to establish a temporary pier in the Mediterranean on the coast of Gaza that can receive large ships carrying food, water, medicine and temporary shelters.",U.S. military to lead an emergency mission,0.0005971702048555017
No U.S. boots will be on the ground.,No U.S. boots will be on the ground,0.01857595331966877
This temporary pier would enable a massive increase in the amount of humanitarian assistance getting into Gaza every day.,This temporary pier would enable a massive increase in the amount of humanitarian assistance,0.03409052640199661
And Israel must also do its part.,Israel must also do its part.,0.023819662630558014
Israel must allow more aid into Gaza and ensure that humanitarian workers aren’t caught in the cross fire.,Israel must allow more aid into Gaza,0.11282245069742203
They're announcing they're going to -- a crossing in northern Gaza.,They're announcing they're going to -- a crossing in northern Gaza,0.10941984504461288
To the leadership of Israel I say this.,To the leadership of Israel,0.20421579480171204
Humanitarian assistance cannot be a secondary consideration or a bargaining chip.,Humanitarian assistance,0.1737588793039322
Protecting and saving innocent lives has to be a priority.,Protecting and saving innocent lives has to be a priority,0.05068488419055939
"As we look to the future, the only real solution is a two-state solution over time.",the only real solution is a two-state solution over time,0.02452836185693741
"And I say this as a lifelong supporter of Israel, my entire career -- no one has a stronger record with this than I do.",lifelong supporter of Israel,0.1312698870897293
I challenge any of you hear.,I challenge any of you hear,0.22378787398338318
I'm the only American president to visit Israel in wartime.,I'm the only American president to visit Israel in wartime,0.017051339149475098
There is no other path that guarantees Israel’s security and democracy.,There is no other path that guarantees Israel’s security and democracy,0.27794909477233887
There is no other path that guarantees Palestinians can live with peace and dignity.,There is no other path that guarantees Palestinians can live with peace and dignity,0.26056498289108276
"There is no other path that guarantees peace between Israel and all of its neighbors, including Saudi Arabia, with whom I’m talking.",There is no other path that guarantees peace between Israel,0.16264492273330688
Creating stability in the Middle East also means containing the threat posed by Iran.,Creating stability in the Middle East also means containing the threat posed by Iran,0.20523980259895325
That’s why I built a coalition of more than a dozen countries to defend international shipping and freedom of navigation in the Red Sea.,defend international shipping and freedom of navigation in the Red Sea,0.0069324299693107605
I’ve ordered strikes to degrade Houthi capabilities and defend U.S.,I’ve ordered strikes to degrade Houthi capabilities,0.019881589338183403
Forces in the region.,Forces in the region,0.4812696576118469
"As Commander in Chief, I will not hesitate to direct further measures to protect our people and military personnel.",protect our people and military personnel,0.003312979592010379
"For years, all I’ve heard from my Republican and Democratic friends say that China’s on the rise and America is falling behind.",China’s on the rise and America is falling behind,0.18568499386310577
They’ve got it backwards.,They’ve got it backwards,0.4080480933189392
"I've been saying it for over four years, even when I wasn't President.",I've been saying it for over four years,0.05280102416872978
We have the best economy in the world.,We have the best economy in the world,0.27401405572891235
"Since I’ve come to office, our GDP is up.",our GDP is up,0.27363377809524536
And our trade deficit with China is down to the lowest point in over a decade.,our trade deficit with China,0.03595021367073059
We’re standing up against China’s unfair economic practices.,We’re standing up against China’s unfair economic practices,0.08507046103477478
We're standing up for peace and stability across the Taiwan Strait.,We're standing up for peace and stability,0.08624259382486343
I’ve revitalized our partnerships and alliances in the Pacific.,I’ve revitalized our partnerships and alliances in the Pacific,0.25568264722824097
"India, Australia, Japan, South Korea, Pacific Islands.","India, Australia, Japan, South Korea, Pacific Islands",0.027195317670702934
"I’ve made sure that the most advanced American technologies can’t be used in China, not allowing to trade them there.",the most advanced American technologies can’t be used in China,0.01162935420870781
"Frankly for all his tough talk on China, it never occurred to my predecessor to do any that.",tough talk on China,0.11316283792257309
"We want competition with China, but not conflict.",We want competition with China,0.09229779243469238
And we’re in a stronger position to win the competition for the 21st Century against China or anyone else for that matter.,a stronger position to win the competition for the 21st Century,0.009021525271236897
Than any time as well.,any time as well.,0.001379419001750648
Here at home I’ve signed over 400 bipartisan bills.,bipartisan bills,0.0011324904626235366
But there’s more to do to pass my Unity Agenda.,there’s more to do to pass my Unity Agenda,0.004692798480391502
Strengthen penalties on fentanyl trafficking.,Strengthen penalties on fentanyl trafficking,0.5747764706611633
"You don’t want to do that, huh?",You don’t want to do that,0.016017068177461624
Pass bipartisan privacy legislation to protect our children online.,Pass bipartisan privacy legislation to protect our children online,0.11812397092580795
Harness the promise of A.I. and protect us from its peril.,Harness the promise of A.I. and protect us from its peril,0.3030098080635071
Ban A.I. voice impersonations and more!,Ban A.I. voice impersonations,0.00011938323586946353
"And keep our one truly sacred obligation, to train and equip those we send into harm’s way and care for them and their families when they come home, and when they don’t.",keep our one truly sacred obligation,0.020006172358989716
"That’s why with the strong support and help from Dennis at the VA, I signed the PACT Act, one of the most significant laws ever, helping millions of veterans who were exposed to toxins and who now are battling more than 100 different cancers.",I signed the PACT Act,0.0008368905982933939
Many of them didn’t come home.,Many of them didn’t come home,0.3205404281616211
We owe them and their families support.,We owe them and their families support,0.261477530002594
And we owe it to ourselves to keep supporting our new health research agency called ARPA-H and remind us that we can do big things like end cancer as we know it!,end cancer,0.00041657002293504775
Let me close with this.,Let me close with this.,0.004683318082243204
Audience: The President: Yay!,Yay!,0.05616062507033348
"I know you don't want hear any more Lindsay, but I got to say a few more things.",Lindsay,0.07372015714645386
"I know I may not look like it, but I’ve been around a while.",I’ve been around a while,0.004106192383915186
And when you get to be my age certain things become clearer than ever before.,when you get to be my age,0.010268004611134529
I know the American story.,I know the American story,0.025493381544947624
Again and again I’ve seen the contest between competing forces in the battle for the soul of our nation.,the soul of our nation,0.009527057409286499
Between those who want to pull America back to the past and those who want to move America into the future.,Between those who want to pull America back to the past,0.06373155117034912
My lifetime has taught me to embrace freedom and democracy.,freedom and democracy,0.03302145004272461
A future based on the core values that have defined America.,A future based on the core values that have defined America,0.4719789922237396
To give everyone a fair shot.,To give everyone a fair shot,0.6870887875556946
To give hate no safe harbor.,To give hate no safe harbor,0.5203028321266174
Now other people my age see it differently.,other people my age see it differently.,0.02092709392309189
"An American story of resentment, revenge, and retribution.","An American story of resentment, revenge, and retribution",0.06765245646238327
I was born amid World War II when America stood for freedom in the world.,freedom in the world,0.004730533342808485
"I grew up in Scranton, Pennsylvania and Claymont, Delaware among working people who built this country.",working people who built this country.,0.00020160734129603952
"I watched in horror as two of my heroes, like many of you did, Dr.",Dr.,4.139162410865538e-05
"King and Bobby Kennedy, were assassinated and their legacies inspired me to pursue a career in service.",assassinated,0.05309176445007324
"I left a law firm, became a public defender because my city of Wilmington was the only city in America occupied by the National Guard after Dr.","I left a law firm, became a public defender",0.0016624104464426637
King was assassinate because of the rights.,because of the rights,0.2059711515903473
I became a count county councilman almost by accident.,I became a count county councilman,0.045882560312747955
"I got elected to the United States when I had no intention of running at age 29, then Vice President, to our first Black President, now President to first woman Vice President.",I got elected to the United States when I had no intention of running,0.018991786986589432
"In my career I’ve been told I’m too young -- by the way, they didn't let me on the Senate elevators for vote sometimes.",I’m too young,0.26956456899642944
And I've been told I’m too old.,I’m too old,0.18705742061138153
"Whether young or old, I’ve always known what endures.",what endures,0.01723889447748661
I've known our North Star.,I've known our North Star.,0.0008190831285901368
"The very idea of America, that we are all created equal and deserve to be treated equally throughout our lives.","The very idea of America, that we are all created equal",0.1177482157945633
"We’ve never fully lived up to that idea, but we’ve never walked away from it either.",We’ve never fully lived up to that idea,0.16273333132266998
And I won’t walk away from it now.,I won’t walk away from it now.,0.007943789474666119
My fellow Americans the issue facing our nation isn’t how old we are it’s how old our ideas are?,how old our ideas are?,0.006939760874956846
"Hate, anger, revenge, retribution are the oldest of ideas.",retribution are the oldest of ideas,0.030550241470336914
But you can’t lead America with ancient ideas that only take us back.,ancient ideas that only take us back,0.020618176087737083
"To lead America, the land of possibilities, you need a vision for the future of what America can and should be.","To lead America, the land of possibilities",0.04166506230831146
Tonight you’ve heard mine.,Tonight you’ve heard mine,0.007680963259190321
"I see a future where defending democracy, you don't diminish it.",defending democracy,0.13212312757968903
I see a future where we restore the right to choose and protect other freedoms not take them away.,I see a future where we restore the right to choose and protect other freedoms,0.05711379274725914
I see a future where the middle class finally has a fair shot and the wealthy finally have to pay their fair share in taxes.,I see a future where the middle class finally has a fair shot,0.05131358280777931
I see a future where we save the planet from the climate crisis and our country from gun violence.,I see a future where we save the planet from the climate crisis,0.04102455824613571
"Above all, I see a future for all Americans!",I see a future for all Americans,0.13830721378326416
I see a country for all Americans!,I see a country for all Americans,0.16545940935611725
And I will always be a president for all Americans!,I will always be a president for all Americans,0.011281296610832214
Because I believe in America!,Because I believe in America,0.19136904180049896
I believe in you the American people.,I believe in you the American people,0.5516069531440735
You’re the reason I’ve never been more optimistic about our future than I am now.,optimistic about our future,0.04476654529571533
So let’s build that future together!,So let’s build that future together,0.0011723903007805347
Let’s remember who we are!,Let’s remember who we are!,3.6170742532704026e-05
We are the United States of America.,We are the United States of America,0.5205586552619934
"There is nothing, nothing beyond our capacity when we act together!","There is nothing, nothing beyond our capacity when we act together!",0.0903027132153511
May God bless you all.,May God bless you all.,0.02456057444214821
And may God protect our troops.,may God protect our troops,0.016703300178050995
"Thank you, thank you, thank you.","Thank you, thank you, thank you",0.20670635998249054
